ticker,tags,daily_df,intraday_df,daily_len,intr_len,daily_peaks,daily_troughs,intr_peaks,intr_troughs,intr_top,intr_bottom,earnings_date,trade_details,sector,last_close,last_date,entry_price,entry_date
AAAU,"['HALFYEARLY_UP', 'MONTHLY_UP', 'QUARTERLY_UP', 'YTD_UP']","                         Date       Open  ...   BB_upper   BB_lower
0   2025-04-23 13:30:00+00:00  32.580002  ...  32.549999  32.549999
1   2025-04-24 13:30:00+00:00  32.930000  ...  33.449682  32.120318
2   2025-04-25 13:30:00+00:00  32.330002  ...  33.235178  32.244823
3   2025-04-28 13:30:00+00:00  32.599998  ...  33.389857  32.280143
4   2025-04-29 13:30:00+00:00  32.779999  ...  33.311040  32.348960
..                        ...        ...  ...        ...        ...
175 2026-01-02 14:30:00+00:00  43.119999  ...  44.609578  40.767422
176 2026-01-05 14:30:00+00:00  43.630001  ...  44.719641  40.891359
177 2026-01-06 14:30:00+00:00  44.090000  ...  44.872994  41.024007
178 2026-01-07 14:30:00+00:00  43.860001  ...  44.899643  41.255357
179 2026-01-08 17:38:33+00:00  43.689999  ...  44.920936  41.476294

[180 rows x 14 columns]","                         Date       Open  ...   BB_upper   BB_lower
0   2025-12-29 14:30:00+00:00  43.340000  ...  43.239899  43.239899
1   2025-12-29 14:35:00+00:00  43.205002  ...  43.331228  43.048670
2   2025-12-29 14:40:00+00:00  43.139999  ...  43.286668  43.066599
3   2025-12-29 14:45:00+00:00  43.160000  ...  43.275307  43.089643
4   2025-12-29 14:50:00+00:00  43.169998  ...  43.267458  43.073061
..                        ...        ...  ...        ...        ...
580 2026-01-08 17:20:00+00:00  44.009998  ...  44.074595  43.874365
581 2026-01-08 17:25:00+00:00  44.015499  ...  44.079374  43.876766
582 2026-01-08 17:30:00+00:00  44.030102  ...  44.079730  43.888590
583 2026-01-08 17:35:00+00:00  44.009998  ...  44.081949  43.892342
584 2026-01-08 17:38:33+00:00  44.002300  ...  44.083120  43.896410

[585 rows x 14 columns]",180,585,"[9, 124, 141]","[15, 135]","[0, 78, 237, 319, 394, 397, 467]","[10, 73, 222, 386, 477]",44.32500076293945,42.46009826660156,,{},,44.00230026245117,2026-01-08,,
AAOI,"['MONTHLY_UP', 'NINE_DAY_LOW', 'RECENT_WEEKLY_TOP', 'YTD_DOWN']","                         Date       Open  ...   BB_upper   BB_lower
0   2025-04-23 13:30:00+00:00  11.955000  ...  11.660000  11.660000
1   2025-04-24 13:30:00+00:00  11.690000  ...  13.823061  10.626938
2   2025-04-25 13:30:00+00:00  12.620000  ...  13.531043  11.142291
3   2025-04-28 13:30:00+00:00  12.800000  ...  13.740164  11.299836
4   2025-04-29 13:30:00+00:00  12.820000  ...  13.670229  11.489771
..                        ...        ...  ...        ...        ...
175 2026-01-02 14:30:00+00:00  36.345001  ...  43.130515  23.480985
176 2026-01-05 14:30:00+00:00  41.055000  ...  43.006446  24.480054
177 2026-01-06 14:30:00+00:00  35.009998  ...  43.204267  25.484232
178 2026-01-07 14:30:00+00:00  37.540001  ...  43.304499  26.405501
179 2026-01-08 17:28:58+00:00  37.910000  ...  43.230412  26.660308

[180 rows x 14 columns]","                         Date       Open  ...   BB_upper   BB_lower
0   2025-12-29 14:30:00+00:00  36.500000  ...  37.028000  37.028000
1   2025-12-29 14:35:00+00:00  37.060001  ...  38.668478  36.244520
2   2025-12-29 14:40:00+00:00  37.840000  ...  40.169948  35.878717
3   2025-12-29 14:45:00+00:00  39.145100  ...  39.743095  36.224253
4   2025-12-29 14:50:00+00:00  37.840000  ...  39.478516  36.251362
..                        ...        ...  ...        ...        ...
576 2026-01-08 17:10:00+00:00  32.369900  ...  33.304440  31.900061
577 2026-01-08 17:15:00+00:00  32.419998  ...  33.182052  31.901439
578 2026-01-08 17:20:00+00:00  32.115002  ...  32.955542  31.990948
579 2026-01-08 17:25:00+00:00  32.110001  ...  32.881334  31.984156
580 2026-01-08 17:28:58+00:00  32.187199  ...  32.828224  31.975986

[581 rows x 14 columns]",180,581,"[14, 80, 104, 114, 129, 170]","[36, 75, 91, 108, 118, 147, 165, 179]","[2, 454, 493, 526]","[15, 157, 233, 390, 471, 511]",39.459999084472656,34.5099983215332,,{},,32.187198638916016,2026-01-08,,
AAPD,"['BREAKOUT_UP', 'HALFYEARLY_DOWN', 'MONTHLY_UP', 'NINE_DAY_HIGH', 'RSI_OVERBOUGHT', 'YTD_UP']","                         Date       Open  ...   BB_upper   BB_lower
0   2025-04-23 13:30:00+00:00  17.580000  ...  17.719999  17.719999
1   2025-04-24 13:30:00+00:00  17.639999  ...  18.030832  17.069166
2   2025-04-25 13:30:00+00:00  17.549999  ...  17.908634  17.031365
3   2025-04-28 13:30:00+00:00  17.280001  ...  17.835316  16.994683
4   2025-04-29 13:30:00+00:00  17.340000  ...  17.790875  16.941124
..                        ...        ...  ...        ...        ...
175 2026-01-02 14:30:00+00:00  13.110000  ...  13.282396  12.741204
176 2026-01-05 14:30:00+00:00  13.180000  ...  13.323017  12.760583
177 2026-01-06 14:30:00+00:00  13.350000  ...  13.433379  12.724221
178 2026-01-07 14:30:00+00:00  13.530000  ...  13.557485  12.682115
179 2026-01-08 17:32:13+00:00  13.860000  ...  13.711227  12.625573

[180 rows x 14 columns]","                         Date     Open     High  ...    BB_std   BB_upper   BB_lower
0   2025-12-29 14:30:00+00:00  13.0600  13.0600  ...  0.000000  13.003300  13.003300
1   2025-12-29 14:35:00+00:00  13.0350  13.0350  ...  0.009404  13.015459  12.977841
2   2025-12-29 14:40:00+00:00  12.9900  13.0100  ...  0.010180  13.021460  12.980740
3   2025-12-29 14:45:00+00:00  13.0100  13.0100  ...  0.009428  13.022182  12.984468
4   2025-12-29 14:50:00+00:00  13.0100  13.0100  ...  0.008694  13.022048  12.987272
..                        ...      ...      ...  ...       ...        ...        ...
484 2026-01-08 17:10:00+00:00  13.8499  13.8700  ...  0.032379  13.941064  13.811546
485 2026-01-08 17:15:00+00:00  13.8500  13.8602  ...  0.032558  13.940922  13.810688
486 2026-01-08 17:20:00+00:00  13.8580  13.8700  ...  0.032569  13.940433  13.810157
487 2026-01-08 17:25:00+00:00  13.8792  13.8851  ...  0.032074  13.938443  13.810147
488 2026-01-08 17:32:13+00:00  13.8820  13.8820  ...  0.031150  13.935294  13.810696

[489 rows x 14 columns]",180,489,"[10, 22, 69, 96]","[6, 14, 77]","[158, 458]","[168, 310]",13.930899620056152,12.85200023651123,,"{'BREAKOUT_UP': {'sl': np.float64(13.506649698529925), 'tp': np.float64(14.632700511387416), 'entry': 13.881999969482422, 'desc': 'Breakout above 20-day high ($13.70). Entry: $13.88.'}}",,13.881999969482422,2026-01-08,,
AAPL,"['BREAKOUT_DOWN', 'HALFYEARLY_UP', 'MONTHLY_DOWN', 'NINE_DAY_LOW', 'RSI_OVERSOLD', 'YTD_DOWN']","                         Date        Open  ...    BB_upper    BB_lower
0   2024-07-24 13:30:00+00:00  224.000000  ...  218.539993  218.539993
1   2024-07-25 13:30:00+00:00  218.929993  ...  219.499906  216.530092
2   2024-07-26 13:30:00+00:00  218.699997  ...  219.048575  216.944762
3   2024-07-29 13:30:00+00:00  216.960007  ...  218.950186  217.164819
4   2024-07-30 13:30:00+00:00  219.190002  ...  219.225173  217.186832
..                        ...         ...  ...         ...         ...
360 2025-12-30 14:30:00+00:00  272.809998  ...  284.496009  267.881988
361 2025-12-31 14:30:00+00:00  273.059998  ...  282.524683  268.420312
362 2026-01-02 14:30:00+00:00  272.260010  ...  280.836780  268.794217
363 2026-01-05 14:30:00+00:00  270.640015  ...  280.395090  267.891906
364 2026-01-06 18:46:33+00:00  267.007996  ...  280.996709  265.703288

[365 rows x 14 columns]","                         Date        Open  ...    BB_upper    BB_lower
0   2025-12-24 14:30:00+00:00  273.250000  ...  273.869995  273.869995
1   2025-12-24 14:35:00+00:00  273.910004  ...  274.874946  273.390039
2   2025-12-24 14:40:00+00:00  274.390015  ...  274.658333  273.608329
3   2025-12-24 14:45:00+00:00  274.114990  ...  274.668019  273.347576
4   2025-12-24 14:50:00+00:00  273.640015  ...  274.607263  273.449207
..                        ...         ...  ...         ...         ...
559 2026-01-06 18:30:00+00:00  262.929993  ...  263.483527  262.273349
560 2026-01-06 18:35:00+00:00  262.940002  ...  263.480821  262.293056
561 2026-01-06 18:40:00+00:00  262.779999  ...  263.487710  262.308155
562 2026-01-06 18:45:00+00:00  262.945007  ...  263.493384  262.332751
563 2026-01-06 18:46:33+00:00  262.910004  ...  263.492316  262.361178

[564 rows x 14 columns]",365,564,"[5, 108, 129, 173, 193, 201, 264, 341]","[9, 123, 136, 159, 177, 197, 209, 256, 283, 305, 334]","[358, 440, 506]","[354, 385, 434, 470]",277.4184875488281,266.8699951171875,,"{'BREAKOUT_DOWN': {'sl': np.float64(271.3300040108817), 'tp': np.float64(246.07000296456476), 'entry': 262.9100036621094, 'desc': 'Breakdown below 20-day low ($267.26). Entry: $262.91.'}}",,262.9100036621094,2026-01-06,,
AAPU,"['BREAKOUT_DOWN', 'DAILY_BOTTOM', 'HALFYEARLY_UP', 'MONTHLY_DOWN', 'NINE_DAY_LOW', 'RECENT_WEEKLY_BOTTOM', 'RSI_OVERSOLD', 'YTD_DOWN']","                         Date       Open  ...   BB_upper   BB_lower
0   2025-04-23 13:30:00+00:00  22.900000  ...  22.530001  22.530001
1   2025-04-24 13:30:00+00:00  22.660000  ...  24.099655  21.780346
2   2025-04-25 13:30:00+00:00  22.910000  ...  24.213500  22.066502
3   2025-04-28 13:30:00+00:00  23.719999  ...  24.360380  22.224621
4   2025-04-29 13:30:00+00:00  23.480000  ...  24.547562  22.316438
..                        ...        ...  ...        ...        ...
175 2026-01-02 14:30:00+00:00  33.715000  ...  38.259018  31.743983
176 2026-01-05 14:30:00+00:00  33.250000  ...  37.710794  31.687207
177 2026-01-06 14:30:00+00:00  32.320000  ...  37.360706  31.368296
178 2026-01-07 14:30:00+00:00  31.434999  ...  36.994627  31.040374
179 2026-01-08 17:28:00+00:00  29.969999  ...  36.680353  30.598148

[180 rows x 14 columns]","                         Date       Open  ...   BB_upper   BB_lower
0   2025-12-29 14:30:00+00:00  33.924999  ...  33.959999  33.959999
1   2025-12-29 14:35:00+00:00  33.950001  ...  34.361982  33.768015
2   2025-12-29 14:40:00+00:00  34.160000  ...  34.267185  33.839479
3   2025-12-29 14:45:00+00:00  34.049999  ...  34.243504  33.884245
4   2025-12-29 14:50:00+00:00  34.098000  ...  34.234041  33.912158
..                        ...        ...  ...        ...        ...
562 2026-01-08 17:10:00+00:00  30.045500  ...  30.232368  29.628201
563 2026-01-08 17:15:00+00:00  30.035000  ...  30.240121  29.628449
564 2026-01-08 17:20:00+00:00  30.049900  ...  30.241970  29.631100
565 2026-01-08 17:25:00+00:00  29.955000  ...  30.242103  29.634967
566 2026-01-08 17:28:00+00:00  29.924999  ...  30.241411  29.648159

[567 rows x 14 columns]",180,567,"[6, 14, 77, 104, 154]","[10, 22, 69, 96, 118, 147, 179]","[221, 369]","[217, 248, 376, 532]",34.90999984741211,29.736499786376953,,"{'DAILY_BOTTOM': {'sl': np.float64(28.665320260184153), 'tp': np.float64(32.444357190813335), 'entry': 29.924999237060547, 'desc': 'Daily bottom confirmed near $29.65. Entry (long): $29.92.'}, 'BREAKOUT_DOWN': {'sl': np.float64(31.7453795841762), 'tp': np.float64(26.284238542829243), 'entry': 29.924999237060547, 'desc': 'Breakdown below 20-day low ($30.76). Entry: $29.92.'}}",,29.924999237060547,2026-01-08,,
AAPX,"['BREAKOUT_DOWN', 'DAILY_BOTTOM', 'HALFYEARLY_UP', 'MONTHLY_DOWN', 'NINE_DAY_LOW', 'RECENT_WEEKLY_BOTTOM', 'RSI_OVERSOLD', 'YTD_DOWN']","                         Date       Open  ...   BB_upper   BB_lower
0   2025-04-23 13:30:00+00:00  19.740000  ...  19.459999  19.459999
1   2025-04-24 13:30:00+00:00  19.480000  ...  20.704241  18.865759
2   2025-04-25 13:30:00+00:00  19.719999  ...  20.804650  19.088683
3   2025-04-28 13:30:00+00:00  20.490000  ...  20.960455  19.199545
4   2025-04-29 13:30:00+00:00  20.250000  ...  21.104294  19.279706
..                        ...        ...  ...        ...        ...
175 2026-01-02 14:30:00+00:00  30.504999  ...  33.527616  29.695885
176 2026-01-05 14:30:00+00:00  30.190001  ...  33.416506  29.422994
177 2026-01-06 14:30:00+00:00  29.290001  ...  33.507377  28.872123
178 2026-01-07 14:30:00+00:00  28.430000  ...  33.612227  28.287273
179 2026-01-08 17:24:13+00:00  27.180000  ...  33.737437  27.625963

[180 rows x 14 columns]","                         Date       Open  ...   BB_upper   BB_lower
0   2025-12-29 14:30:00+00:00  30.600000  ...  30.809999  30.809999
1   2025-12-29 14:35:00+00:00  30.820000  ...  31.077992  30.682008
2   2025-12-29 14:40:00+00:00  30.965000  ...  31.064993  30.741674
3   2025-12-29 14:45:00+00:00  30.870001  ...  31.032666  30.767334
4   2025-12-29 14:50:00+00:00  30.920000  ...  31.011984  30.776016
..                        ...        ...  ...        ...        ...
423 2026-01-08 16:55:00+00:00  27.280001  ...  27.345210  26.804200
424 2026-01-08 17:00:00+00:00  27.219999  ...  27.361363  26.807047
425 2026-01-08 17:05:00+00:00  27.219999  ...  27.374197  26.806713
426 2026-01-08 17:20:00+00:00  27.195299  ...  27.384669  26.812771
427 2026-01-08 17:24:13+00:00  27.139000  ...  27.388500  26.821839

[428 rows x 14 columns]",180,428,"[6, 77, 154]","[10, 22, 69, 96, 118, 147, 179]","[156, 294, 388]","[152, 181, 403]",31.639999389648438,26.920000076293945,,"{'DAILY_BOTTOM': {'sl': np.float64(25.998713629586355), 'tp': np.float64(29.41957255772182), 'entry': 27.138999938964844, 'desc': 'Daily bottom confirmed near $26.89. Entry (long): $27.14.'}, 'BREAKOUT_DOWN': {'sl': np.float64(28.7112854548863), 'tp': np.float64(23.99442890712193), 'entry': 27.138999938964844, 'desc': 'Breakdown below 20-day low ($27.82). Entry: $27.14.'}}",,27.138999938964844,2026-01-08,,
AAXJ,"['DAILY_TOP', 'HALFYEARLY_UP', 'RECENT_WEEKLY_TOP', 'RSI_OVERBOUGHT', 'YTD_UP']","                         Date       Open  ...   BB_upper   BB_lower
0   2025-04-23 13:30:00+00:00  73.070000  ...  72.580002  72.580002
1   2025-04-24 13:30:00+00:00  72.709999  ...  74.053940  71.876060
2   2025-04-25 13:30:00+00:00  72.820000  ...  73.807192  72.226143
3   2025-04-28 13:30:00+00:00  73.199997  ...  73.749804  72.390199
4   2025-04-29 13:30:00+00:00  73.400002  ...  73.819368  72.468636
..                        ...        ...  ...        ...        ...
175 2026-01-02 14:30:00+00:00  95.220001  ...  95.375300  89.469700
176 2026-01-05 14:30:00+00:00  96.660004  ...  96.315726  89.019274
177 2026-01-06 14:30:00+00:00  97.830002  ...  97.225070  88.569929
178 2026-01-07 14:30:00+00:00  97.550003  ...  97.834894  88.368106
179 2026-01-08 17:28:12+00:00  97.160004  ...  98.348268  88.273231

[180 rows x 14 columns]","                         Date       Open  ...   BB_upper   BB_lower
0   2025-12-29 14:30:00+00:00  92.870003  ...  92.940002  92.940002
1   2025-12-29 14:35:00+00:00  92.980003  ...  93.112275  92.857727
2   2025-12-29 14:40:00+00:00  93.029999  ...  93.071180  92.882153
3   2025-12-29 14:45:00+00:00  93.019997  ...  93.054370  92.877228
4   2025-12-29 14:50:00+00:00  92.894997  ...  93.051107  92.852170
..                        ...        ...  ...        ...        ...
547 2026-01-08 17:10:00+00:00  96.964996  ...  97.104014  96.857986
548 2026-01-08 17:15:00+00:00  96.980003  ...  97.091743  96.863757
549 2026-01-08 17:20:00+00:00  97.019997  ...  97.081446  96.868055
550 2026-01-08 17:25:00+00:00  97.000000  ...  97.074688  96.866813
551 2026-01-08 17:28:12+00:00  96.985001  ...  97.074548  96.874452

[552 rows x 14 columns]",180,552,"[101, 114, 160, 177]","[26, 92, 118, 148, 165]",[218],"[206, 211]",95.7594985961914,93.08999633789062,,"{'DAILY_TOP': {'sl': np.float64(99.17285265241351), 'tp': np.float64(92.60929652622767), 'entry': 96.98500061035156, 'desc': 'Daily top confirmed near $98.09. Entry (short): $96.99.'}}",,96.98500061035156,2026-01-08,,
ABCL,"['BREAKOUT_UP', 'DAILY_TOP', 'MONTHLY_UP', 'NINE_DAY_HIGH', 'QUARTERLY_DOWN', 'RECENT_WEEKLY_TOP', 'RSI_OVERBOUGHT', 'YTD_UP']","                         Date  Open   High  ...    BB_std  BB_upper  BB_lower
0   2025-04-23 13:30:00+00:00  2.59  2.680  ...  0.000000  2.530000  2.530000
1   2025-04-24 13:30:00+00:00  2.54  2.600  ...  0.049497  2.663995  2.466005
2   2025-04-25 13:30:00+00:00  2.56  2.640  ...  0.035119  2.636904  2.496429
3   2025-04-28 13:30:00+00:00  2.57  2.635  ...  0.030957  2.634414  2.510586
4   2025-04-29 13:30:00+00:00  2.59  2.630  ...  0.028636  2.625271  2.510729
..                        ...   ...    ...  ...       ...       ...       ...
175 2026-01-02 14:30:00+00:00  3.42  3.490  ...  0.122314  3.821129  3.331871
176 2026-01-05 14:30:00+00:00  3.47  3.620  ...  0.125215  3.815929  3.315071
177 2026-01-06 14:30:00+00:00  3.42  3.920  ...  0.145814  3.874129  3.290871
178 2026-01-07 14:30:00+00:00  3.94  4.200  ...  0.190442  3.990384  3.228616
179 2026-01-08 17:38:15+00:00  4.10  4.180  ...  0.225391  4.083782  3.182218

[180 rows x 14 columns]","                         Date    Open    High  ...    BB_std  BB_upper  BB_lower
0   2025-12-29 14:30:00+00:00  3.5200  3.5440  ...  0.000000  3.540000  3.540000
1   2025-12-29 14:35:00+00:00  3.5400  3.5600  ...  0.021213  3.567426  3.482574
2   2025-12-29 14:40:00+00:00  3.5101  3.5400  ...  0.017320  3.564641  3.495359
3   2025-12-29 14:45:00+00:00  3.5400  3.5400  ...  0.014361  3.559973  3.502527
4   2025-12-29 14:50:00+00:00  3.5350  3.5410  ...  0.013052  3.559124  3.506916
..                        ...     ...     ...  ...       ...       ...       ...
580 2026-01-08 17:20:00+00:00  4.1500  4.1500  ...  0.031969  4.192967  4.065093
581 2026-01-08 17:25:00+00:00  4.1400  4.1595  ...  0.028274  4.190519  4.077421
582 2026-01-08 17:30:00+00:00  4.1600  4.1685  ...  0.023325  4.186041  4.092739
583 2026-01-08 17:35:00+00:00  4.1600  4.1650  ...  0.019736  4.182352  4.103408
584 2026-01-08 17:38:15+00:00  4.1500  4.1500  ...  0.017645  4.180419  4.109841

[585 rows x 14 columns]",180,585,"[60, 116, 179]","[72, 174]","[314, 397, 498, 535]",[],4.184999942779541,,,"{'DAILY_TOP': {'sl': np.float64(4.390999794006348), 'tp': np.float64(3.6680006980895996), 'entry': 4.150000095367432, 'desc': 'Daily top confirmed near $4.18. Entry (short): $4.15.'}, 'BREAKOUT_UP': {'sl': np.float64(3.9190001487731934), 'tp': np.float64(4.611999988555908), 'entry': 4.150000095367432, 'desc': 'Breakout above 20-day high ($4.13). Entry: $4.15.'}}",,4.150000095367432,2026-01-08,,
ABT,['YTD_UP'],"                         Date        Open  ...    BB_upper    BB_lower
0   2025-04-23 13:30:00+00:00  132.210007  ...  129.839996  129.839996
1   2025-04-24 13:30:00+00:00  130.020004  ...  130.260527  128.959474
2   2025-04-25 13:30:00+00:00  129.270004  ...  130.347484  128.365854
3   2025-04-28 13:30:00+00:00  129.330002  ...  130.227358  128.572645
4   2025-04-29 13:30:00+00:00  128.889999  ...  130.837124  128.402879
..                        ...         ...  ...         ...         ...
175 2026-01-02 14:30:00+00:00  124.699997  ...  128.152167  121.541832
176 2026-01-05 14:30:00+00:00  123.629997  ...  128.274276  121.524723
177 2026-01-06 14:30:00+00:00  126.839996  ...  128.647298  121.421701
178 2026-01-07 14:30:00+00:00  128.449997  ...  128.719419  121.844580
179 2026-01-08 17:33:13+00:00  127.099998  ...  128.582085  122.598415

[180 rows x 14 columns]","                         Date        Open  ...    BB_upper    BB_lower
0   2025-12-29 14:30:00+00:00  125.029999  ...  124.980003  124.980003
1   2025-12-29 14:35:00+00:00  125.150002  ...  125.153706  124.616298
2   2025-12-29 14:40:00+00:00  124.800003  ...  125.094360  124.572311
3   2025-12-29 14:45:00+00:00  124.730003  ...  125.278110  124.539395
4   2025-12-29 14:50:00+00:00  125.154999  ...  125.419132  124.534872
..                        ...         ...  ...         ...         ...
579 2026-01-08 17:15:00+00:00  127.529999  ...  127.848242  127.338617
580 2026-01-08 17:20:00+00:00  127.385002  ...  127.823361  127.321638
581 2026-01-08 17:25:00+00:00  127.385002  ...  127.804007  127.311993
582 2026-01-08 17:30:00+00:00  127.440002  ...  127.779109  127.305891
583 2026-01-08 17:33:13+00:00  127.415001  ...  127.735952  127.311548

[584 rows x 14 columns]",180,584,"[18, 42, 74, 104, 113, 143, 163, 177]","[2, 15, 38, 58, 78, 96, 133, 147, 159, 175]","[399, 552]","[239, 318, 416, 477]",129.41000366210938,123.02999877929688,,{},,127.41500091552734,2026-01-08,,
ABTC,"['HALFYEARLY_DOWN', 'MONTHLY_DOWN', 'QUARTERLY_DOWN', 'YTD_UP']","                         Date   Open    High  ...    BB_std  BB_upper  BB_lower
0   2025-04-23 13:30:00+00:00  0.885  1.0450  ...  0.000000  1.025000  1.025000
1   2025-04-24 13:30:00+00:00  1.035  1.1850  ...  0.113137  1.331274  0.878726
2   2025-04-25 13:30:00+00:00  1.240  1.5200  ...  0.228108  1.684550  0.772117
3   2025-04-28 13:30:00+00:00  1.550  1.5950  ...  0.212995  1.705989  0.854011
4   2025-04-29 13:30:00+00:00  1.400  1.4250  ...  0.186735  1.666470  0.919530
..                        ...    ...     ...  ...       ...       ...       ...
175 2026-01-02 14:30:00+00:00  1.750  1.8400  ...  0.205321  2.269643  1.448357
176 2026-01-05 14:30:00+00:00  1.950  2.1000  ...  0.162898  2.164796  1.513204
177 2026-01-06 14:30:00+00:00  2.040  2.0500  ...  0.138617  2.103234  1.548766
178 2026-01-07 14:30:00+00:00  1.940  1.9700  ...  0.132565  2.085630  1.555370
179 2026-01-08 17:29:40+00:00  1.850  1.9499  ...  0.123172  2.059844  1.567156

[180 rows x 14 columns]","                         Date    Open    High  ...    BB_std  BB_upper  BB_lower
0   2025-12-29 14:30:00+00:00  1.8700  1.8900  ...  0.000000  1.889200  1.889200
1   2025-12-29 14:35:00+00:00  1.8900  1.9482  ...  0.004101  1.900302  1.883898
2   2025-12-29 14:40:00+00:00  1.8916  1.9000  ...  0.005021  1.899776  1.879691
3   2025-12-29 14:45:00+00:00  1.8850  1.9078  ...  0.004101  1.897976  1.881574
4   2025-12-29 14:50:00+00:00  1.8853  1.8900  ...  0.004144  1.897108  1.880532
..                        ...     ...     ...  ...       ...       ...       ...
577 2026-01-08 17:10:00+00:00  1.9200  1.9300  ...  0.015907  1.939109  1.875481
578 2026-01-08 17:15:00+00:00  1.9300  1.9300  ...  0.015935  1.940584  1.876846
579 2026-01-08 17:20:00+00:00  1.9250  1.9300  ...  0.015654  1.941022  1.878407
580 2026-01-08 17:25:00+00:00  1.9192  1.9200  ...  0.014662  1.940774  1.882126
581 2026-01-08 17:29:40+00:00  1.9100  1.9100  ...  0.012675  1.938300  1.887600

[582 rows x 14 columns]",180,582,"[13, 53, 78, 95, 112, 129]","[25, 41, 67, 82, 126]","[267, 318, 353, 455, 533]","[88, 89, 232, 309, 395, 476, 545, 546]",2.089099884033203,1.684999942779541,,{},,1.909999966621399,2026-01-08,,
